buildings_solar_pv_solar_radiation,energy_power_hydro_river,energy_power_solar_csp_solar_radiation,energy_power_solar_pv_solar_radiation,energy_power_wind_turbine_coastal,energy_power_wind_turbine_inland,energy_power_wind_turbine_offshore,households_solar_pv_solar_radiation,agriculture_chp_engine_biogas,buildings_chp_engine_biogas,energy_chp_supercritical_waste_mix,energy_power_supercritical_waste_mix,households_collective_chp_biogas,industry_chp_combined_cycle_gas_power_fuelmix,industry_chp_engine_gas_power_fuelmix,industry_chp_turbine_gas_power_fuelmix,industry_chp_ultra_supercritical_coal,energy_power_hydro_mountain,energy_power_nuclear_gen3_uranium_oxide,energy_power_nuclear_gen2_uranium_oxide,energy_power_ultra_supercritical_lignite,energy_power_ultra_supercritical_oxyfuel_ccs_lignite,energy_chp_ultra_supercritical_lignite,energy_power_combined_cycle_coal,energy_power_ultra_supercritical_coal,energy_power_combined_cycle_ccs_coal,energy_chp_ultra_supercritical_coal,energy_power_ultra_supercritical_ccs_coal,energy_power_supercritical_coal,energy_power_ultra_supercritical_cofiring_coal,energy_power_combined_cycle_network_gas,energy_chp_ultra_supercritical_cofiring_coal,energy_power_combined_cycle_ccs_network_gas,energy_power_engine_network_gas,energy_chp_combined_cycle_network_gas,agriculture_chp_engine_network_gas,buildings_collective_chp_network_gas,households_collective_chp_network_gas,energy_power_ultra_supercritical_network_gas,energy_power_turbine_network_gas,energy_power_ultra_supercritical_crude_oil,agriculture_chp_supercritical_wood_pellets,buildings_collective_chp_wood_pellets,households_collective_chp_wood_pellets,energy_power_engine_diesel
Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer
0.0,1985.9784978544342,0.0,0.0,1287.759635669088,10933.574598998084,132.15298561908014,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,1216.2209090752879,9.809657120189136,1605.019662136046,636.3013698677375,2145.859363681684,0.0,10488.50909090909,8936.885247990402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.85083338877562,1985.9784978544342,0.0,25.92052014844455,1334.0735050899557,11326.797163407948,135.4032732820019,14.432139531351535,0.0,0.0,511.6438356202369,801.5981735219328,0.0,1216.2209090752879,9.809657120189136,1605.019662136046,636.3013698677375,2145.859363681684,0.0,10488.50909090909,8980.015497247481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415.0304170270415,1985.9784978544342,0.0,168.48338096488956,1372.0449661410012,11649.18947213942,136.2529850821344,93.80890695378498,0.0,0.0,511.6438356202369,801.5981735219328,0.0,1216.2209090752879,9.809657120189136,1605.019662136046,636.3013698677375,2145.859363681684,0.0,10488.50909090909,9166.783118494506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
798.1354173596952,1985.9784978544342,0.0,324.00650185555685,1375.9730483186966,11682.540400628892,136.29160834577675,180.4017441418942,0.0,0.0,511.6438356202369,801.5981735219328,0.0,1216.2209090752879,9.809657120189136,1605.019662136046,636.3013698677375,2145.859363681684,0.0,10488.50909090909,11181.000094064693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101.4268759563788,1985.9784978544342,0.0,447.1289725606682,1408.7070664661508,11960.464804707757,136.29160834577675,248.95440691581385,0.0,0.0,511.6438356202369,801.5981735219328,0.0,1216.2209090752879,9.809657120189136,1605.019662136046,636.3013698677375,2145.859363681684,0.0,10488.50909090909,13777.245988838644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548.382709677807,1985.9784978544342,0.0,628.5726135997796,1437.5130024359091,12205.038280297147,136.29160834577675,349.97938363527436,0.0,0.0,511.6438356202369,801.5981735219328,0.0,1216.2209090752879,9.809657120189136,1605.019662136046,636.3013698677375,2145.859363681684,0.0,10488.50909090909,16711.149882258585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245.0912510811236,1985.9784978544342,0.0,505.45014289466826,1474.0909891331983,12515.599455813552,136.29160834577675,281.4267208613547,0.0,0.0,511.6438356202369,801.5981735219328,0.0,1216.2209090752879,9.809657120189136,1605.019662136046,636.3013698677375,2145.859363681684,0.0,10488.50909090909,17634.23360772636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
798.1354173596952,1985.9784978544342,0.0,324.00650185555685,1510.9756449676404,12828.764370254055,136.29160834577675,180.4017441418942,0.0,0.0,511.6438356202369,801.5981735219328,0.0,1216.2209090752879,9.809657120189136,1605.019662136046,636.3013698677375,2145.859363681684,0.0,10488.50909090909,17420.916694115083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399.0677086798476,1985.9784978544342,0.0,162.00325092777842,1534.0862306203342,13024.982131132216,136.29160834577675,90.2008720709471,0.0,0.0,511.6438356202369,801.5981735219328,0.0,1216.2209090752879,9.809657120189136,1605.019662136046,636.3013698677375,2145.859363681684,0.0,10488.50909090909,17420.876571761073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.888125041581716,1985.9784978544342,0.0,19.440390111333414,1548.2731706840716,13145.434708788753,136.29160834577675,10.824104648513652,0.0,0.0,511.6438356202369,801.5981735219328,0.0,1216.2209090752879,9.809657120189136,1605.019662136046,636.3013698677375,2145.859363681684,0.0,10488.50909090909,18229.627929490853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
