buildings_solar_pv_solar_radiation,energy_power_hydro_river,energy_power_solar_csp_solar_radiation,energy_power_solar_pv_solar_radiation,energy_power_wind_turbine_coastal,energy_power_wind_turbine_inland,energy_power_wind_turbine_offshore,households_solar_pv_solar_radiation,agriculture_chp_engine_biogas,agriculture_chp_engine_network_gas,agriculture_chp_supercritical_wood_pellets,buildings_chp_engine_biogas,buildings_collective_chp_network_gas,buildings_collective_chp_wood_pellets,energy_chp_supercritical_waste_mix,energy_power_supercritical_waste_mix,households_collective_chp_biogas,households_collective_chp_network_gas,households_collective_chp_wood_pellets,industry_chp_combined_cycle_gas_power_fuelmix,industry_chp_engine_gas_power_fuelmix,industry_chp_turbine_gas_power_fuelmix,industry_chp_ultra_supercritical_coal,energy_power_hydro_mountain,energy_power_nuclear_gen3_uranium_oxide,energy_power_nuclear_gen2_uranium_oxide,energy_power_ultra_supercritical_lignite,energy_chp_ultra_supercritical_lignite,energy_power_combined_cycle_coal,energy_power_ultra_supercritical_coal,energy_power_ultra_supercritical_oxyfuel_ccs_lignite,energy_chp_ultra_supercritical_coal,energy_power_combined_cycle_ccs_coal,energy_power_supercritical_coal,energy_power_ultra_supercritical_ccs_coal,energy_power_combined_cycle_network_gas,energy_power_ultra_supercritical_cofiring_coal,energy_chp_ultra_supercritical_cofiring_coal,energy_power_engine_network_gas,energy_power_combined_cycle_ccs_network_gas,energy_chp_combined_cycle_network_gas,energy_power_ultra_supercritical_network_gas,energy_power_turbine_network_gas,energy_power_ultra_supercritical_crude_oil,energy_power_engine_diesel
Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer
0.015,10.0,50.0,20.0,3.0,3.0,3.0,0.0015,1.0,2.0,1.5,1.0,2.0,1.5,60.0,55.56,1.0,2.0,1.5,100.0,1.0,45.0,17.3611111111111,500.00000000000006,1650.0000000000002,1650.0,800.0,700.0,800.0,800.0,660.0,695.652173913043,658.0,800.0,637.0,800.0000000000001,730.434782608696,643.478260869565,400.0,665.0,120.0,800.0,150.0,800.0,2.0
747564.5454979268,394.4053006554574,0.0,221.30872483221478,0.0,10335.046497210156,62.73428571428559,9245458.199010288,0.0,0.0,0.0,0.0,0.0,0.0,12.450000000000003,33.25944450759729,0.0,0.0,0.0,22.838419975225747,28.15138400578117,40.47422115122155,45.866057142857166,2.619992162451016,1.5260452627541234,6.104181051016494,33.379123263888886,0.8216326530612242,0.04739062499999989,10.569545454545455,0.0,3.7784687500000023,0.0,17.14959375,0.0,7.274523809523808,2.6360389610389605,2.7496396396396405,0.0,0.0,103.17777777777773,3.418116875,2.1387100000000014,3.75,179.64285714285725
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.919859467,60.06815813787048,135.45368234904467,14.919859467,60.06815813787047,135.58701568237802,0.0,1.169906407487401,14.919859467,60.06815813787047,135.58701568237802,65.71186780690981,71.21109096929433,73.05785389184769,24.612146074945677,2.4920896602739795,4.844769136055791,5.041880429577916,13.672656600000002,14.440178971428578,17.300994486309744,17.779524058197307,19.337017989865878,20.65910268120926,21.419062152928994,22.485121729121403,27.684539536958304,39.19264259781364,41.5368112470636,47.401418187782845,48.97986574726704,51.15988717463956,55.31127513973377,58.35583889672044,69.10097272408288,114.98312557612161,143.3780010769861
0.0,5096.788953872047,0.0,0.0,0.0,14041.256283096454,115.24605885655787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,19734.930563127324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,13133.071470281886,103.7355260116135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,18045.01454519757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,11509.308119381634,117.89705242809144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,17054.55902259059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,10736.251194214492,130.1800007752668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,16182.961037667488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,13145.497807170956,99.77288355679661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,12798.22009058781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,12673.297005386956,121.81591249035847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,11792.072777167474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,12221.334234667172,132.15298561908014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,9707.343540656178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.59906760044476,5096.788953872047,0.0,15.63052396028575,0.0,12660.870668497902,135.4032732820019,48.97390150784112,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,9786.823836495341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257.39393940289096,5096.788953872047,0.0,101.59840574185738,0.0,13021.234438280422,136.2529850821344,318.33035980096724,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,10042.648626848213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494.98834500555955,5096.788953872047,0.0,195.38154950357188,0.0,13058.513448947588,136.29160834577675,612.173768848014,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,12221.74751305872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
683.0839161076718,5096.788953872047,0.0,269.62653831492906,0.0,13369.171871173907,136.29160834577675,844.7998010102589,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,15027.540735188255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
960.2773893107845,5096.788953872047,0.0,379.040206036929,0.0,13642.551282733057,136.29160834577675,1187.6171115651457,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,18203.936660491323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
772.1818182086722,5096.788953872047,0.0,304.7952172255719,0.0,13989.69044494675,136.29160834577675,954.9910794029009,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,19174.77436872381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494.98834500555955,5096.788953872047,0.0,195.38154950357188,0.0,14339.740015221696,136.29160834577675,612.173768848014,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,18924.9490205279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247.49417250277978,5096.788953872047,0.0,97.69077475178594,0.0,14559.068361752548,136.29160834577675,306.086884424007,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,18898.299713747794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.699300700333573,5096.788953872047,0.0,11.722892970214314,0.0,14693.707879472824,136.29160834577675,36.73042613088084,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,19729.858943842803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,14693.707879472824,136.29160834577675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,23453.55128757043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,14693.707879472824,136.29160834577675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,23765.935763888887,557.8885714285713,34.12124999999992,4744.759171863814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,14693.707879472824,136.29160834577675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,23765.935763888887,557.8885714285713,34.12124999999992,6441.279530096785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,14693.707879472824,136.29160834577675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,23765.935763888887,557.8885714285713,34.12124999999992,5064.136294813543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,14693.707879472824,136.29160834577675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,23765.935763888887,557.8885714285713,34.12124999999992,1908.5811313102247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,14693.707879472824,136.29160834577675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,23765.935763888887,557.8885714285713,34.12124999999992,228.43908707466528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,14693.707879472824,136.29160834577675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,23480.848477566135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,14693.707879472824,136.29160834577675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,17485.020695009858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,14693.707879472824,136.29160834577675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,11960.06943987946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,14693.707879472824,136.29160834577675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,8486.502012926185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,0.0,14693.707879472824,136.29160834577675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6438356202369,801.5981735219328,0.0,0.0,0.0,1564.2753407805,19.28176986711655,1247.4931176838984,636.3013698677375,432.29870680441775,2266.1772151898736,8561.113924050633,7413.72244609504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
