Key,Marginal_Cost_(EUR/MWh),Capacity_(MW),%_Price-setting
import_from_de,41.7222716661987,5049.0,47.40867579908676
energy_power_combined_cycle_network_gas,57.2672674137095,4968.000000000001,23.5958904109589
energy_power_ultra_supercritical_cofiring_coal,50.557321323684356,1606.9565217391312,9.5662100456621
agriculture_chp_engine_network_gas,78.7891275255814,2489.0,6.894977168949771
energy_chp_ultra_supercritical_coal,33.67116089086775,802.0173913043474,4.440639269406392
energy_power_ultra_supercritical_coal,29.0943572839873,1224.0,3.1506849315068495
energy_power_nuclear_gen2_uranium_oxide,5.041880429577916,430.65,1.8949771689497716
energy_chp_ultra_supercritical_cofiring_coal,57.64091611259558,474.3078260869564,1.7009132420091322
buildings_collective_chp_network_gas,78.78912752558139,570.6666434588851,0.7876712328767124
energy_chp_combined_cycle_network_gas,81.1321677338707,3035.752572247012,0.3881278538812785
energy_power_ultra_supercritical_network_gas,85.46777612056422,3456.0,0.17123287671232876
agriculture_chp_engine_biogas,151.87216567570286,199.5,0.0
agriculture_chp_supercritical_wood_pellets,147.31412429378528,249.75000000000003,0.0
buildings_chp_engine_biogas,151.87216567570286,0.0,0.0
buildings_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
buildings_solar_pv_solar_radiation,0.0,1122.1245,0.0
energy_chp_supercritical_waste_mix,0.0,599.4,0.0
energy_chp_ultra_supercritical_lignite,29.923018651428585,0.0,0.0
energy_power_combined_cycle_ccs_coal,24.642631132411942,0.0,0.0
energy_power_combined_cycle_ccs_network_gas,68.44403114329053,0.0,0.0
energy_power_combined_cycle_coal,28.7906706096285,0.0,0.0
energy_power_engine_diesel,187.87327684210524,0.0,0.0
energy_power_engine_network_gas,71.57314676713686,0.0,0.0
energy_power_hydro_mountain,2.4920896602739795,0.0,0.0
energy_power_hydro_river,0.0,100.94000000000001,0.0
energy_power_nuclear_gen3_uranium_oxide,4.844769136055791,0.0,0.0
energy_power_solar_csp_solar_radiation,1.0,0.0,0.0
energy_power_solar_pv_solar_radiation,0.0,12.43367935409458,0.0
energy_power_supercritical_coal,36.9429641842975,0.0,0.0
energy_power_supercritical_waste_mix,1.169906407487401,0.0,0.0
energy_power_turbine_network_gas,100.99736945801675,194.69387755102053,0.0
energy_power_ultra_supercritical_ccs_coal,31.015263163958693,0.0,0.0
energy_power_ultra_supercritical_crude_oil,123.5076191761216,0.0,0.0
energy_power_ultra_supercritical_lignite,27.220141320000003,0.0,0.0
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,22.774621541341286,0.0,0.0
energy_power_wind_turbine_coastal,0.0,712.4999999999999,0.0
energy_power_wind_turbine_inland,0.0,5936.549999999999,0.0
energy_power_wind_turbine_offshore,0.0,4095.84,0.0
households_collective_chp_biogas,151.87216567570286,0.0,0.0
households_collective_chp_network_gas,78.78912752558139,0.0,0.0
households_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
households_solar_pv_solar_radiation,0.0,2810.581767905015,0.0
industry_chp_combined_cycle_gas_power_fuelmix,89.169452364677,875.9450357919136,0.0
industry_chp_engine_gas_power_fuelmix,87.64963020979114,14.264031723246422,0.0
industry_chp_turbine_gas_power_fuelmix,98.98465787674827,408.6960434576166,0.0
industry_chp_ultra_supercritical_coal,41.961557021157,0.0,0.0
emergency_price,"","",0.0
