buildings_solar_pv_solar_radiation,energy_power_hydro_river,energy_power_solar_csp_solar_radiation,energy_power_solar_pv_solar_radiation,energy_power_wind_turbine_coastal,energy_power_wind_turbine_inland,energy_power_wind_turbine_offshore,households_solar_pv_solar_radiation,agriculture_chp_engine_biogas,buildings_chp_engine_biogas,energy_chp_supercritical_waste_mix,energy_power_supercritical_waste_mix,households_collective_chp_biogas,industry_chp_combined_cycle_gas_power_fuelmix,industry_chp_engine_gas_power_fuelmix,industry_chp_turbine_gas_power_fuelmix,industry_chp_ultra_supercritical_coal,energy_power_hydro_mountain,energy_power_nuclear_gen3_uranium_oxide,energy_power_nuclear_gen2_uranium_oxide,energy_power_ultra_supercritical_lignite,energy_chp_ultra_supercritical_lignite,energy_power_ultra_supercritical_oxyfuel_ccs_lignite,energy_power_combined_cycle_coal,energy_power_ultra_supercritical_coal,energy_power_combined_cycle_ccs_coal,energy_chp_ultra_supercritical_coal,energy_power_supercritical_coal,energy_power_ultra_supercritical_ccs_coal,energy_power_ultra_supercritical_cofiring_coal,energy_power_combined_cycle_network_gas,energy_chp_ultra_supercritical_cofiring_coal,energy_power_engine_network_gas,energy_power_combined_cycle_ccs_network_gas,energy_chp_combined_cycle_network_gas,agriculture_chp_engine_network_gas,buildings_collective_chp_network_gas,households_collective_chp_network_gas,energy_power_ultra_supercritical_network_gas,energy_power_turbine_network_gas,energy_power_ultra_supercritical_crude_oil,agriculture_chp_supercritical_wood_pellets,buildings_collective_chp_wood_pellets,households_collective_chp_wood_pellets,energy_power_engine_diesel
Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::MustRunProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer
0.015,10.0,50.0,20.0,3.0,3.0,3.0,0.0015,1.0,1.0,60.0,55.56,1.0,100.0,1.0,45.0,17.3611111111111,500.00000000000006,1650.0000000000002,1650.0,800.0,700.0,660.0,800.0,800.0,658.0,695.652173913043,800.0,637.0,730.434782608696,800.0000000000001,643.478260869565,400.0,665.0,120.0,2.0,2.0,2.0,800.0,150.0,800.0,1.5,1.5,1.5,2.0
9451.0,3.7037037037037073,0.0,1.3,261.29014814814826,601.2,75.14285714285708,276070.0,69.41453750000001,25.33125532317596,11.086111111111105,0.0,0.0,8.040307891882971,15.014770234996234,10.09126033228683,0.0,0.0,0.0,0.3041958041958042,0.0,0.0,0.0,0.0,1.4276044303797466,0.0,1.640347222222223,1.2451728615707918,0.0,0.825934297769741,8.2,1.0892192192192207,0.0,0.0,44.1055555555555,1507.1000015496352,0.0,0.0,4.280562633008939,0.038929431737662654,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,151.87216567570286,151.87216567570286,0.0,1.169906407487401,151.87216567570286,76.94848950729849,80.36476636576975,85.4772778764878,32.233534102001975,2.4920896602739795,4.844769136055791,5.041880429577916,18.68637696,20.17014509714286,21.758012159046203,22.34827132541988,22.749994510625328,24.437988926771176,26.375143701501482,28.83627841833498,30.803818447327096,47.08265029118862,48.04221726438934,53.6966949405734,60.04183408048668,60.5558666044358,67.95352466341336,70.48558139534885,70.48558139534885,70.48558139534885,71.630200896584,84.71786919451061,117.45451237612158,147.31412429378528,147.44745762711864,147.44745762711864,187.87327684210524
0.0,38.300450198400036,0.0,0.0,301.495673167389,224.926768569888,94.12778439143993,0.0,63.392271689968354,23.13356650535527,455.5936073093182,0.0,0.0,550.7060199960729,10.284089202128566,311.0319965453963,0.0,0.0,0.0,436.67307692307696,0.0,0.0,0.0,0.0,1027.8751898734176,0.0,1027.0,886.5630774384038,0.0,530.8962025316459,3897.728324404476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,38.300450198400036,0.0,0.0,326.8169957436946,291.5717378935536,112.98264931223993,0.0,63.392271689968354,23.13356650535527,455.5936073093182,0.0,0.0,550.7060199960729,10.284089202128566,311.0319965453963,0.0,0.0,0.0,436.67307692307696,0.0,0.0,0.0,0.0,1027.8751898734176,0.0,1027.0,886.5630774384038,0.0,530.8962025316459,3453.0581361609225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,38.300450198400036,0.0,0.0,258.0307256879497,370.19197409912636,96.17934992363993,0.0,63.392271689968354,23.13356650535527,455.5936073093182,0.0,0.0,550.7060199960729,10.284089202128566,311.0319965453963,0.0,0.0,0.0,436.67307692307696,0.0,0.0,0.0,0.0,1027.8751898734176,0.0,1027.0,886.5630774384038,0.0,530.8962025316459,2913.0715008894645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,38.300450198400036,0.0,0.0,258.0307256879497,370.19197409912636,83.52802881035994,0.0,63.392271689968354,23.13356650535527,455.5936073093182,0.0,0.0,550.7060199960729,10.284089202128566,311.0319965453963,0.0,0.0,0.0,436.67307692307696,0.0,0.0,0.0,0.0,1027.8751898734176,0.0,1027.0,886.5630774384038,0.0,530.8962025316459,2166.4367644473477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,38.300450198400036,0.0,0.0,258.0307256879497,256.6872618753024,83.52802881035994,0.0,63.392271689968354,23.13356650535527,455.5936073093182,0.0,0.0,550.7060199960729,10.284089202128566,311.0319965453963,0.0,0.0,0.0,436.67307692307696,0.0,0.0,0.0,0.0,1027.8751898734176,0.0,1027.0,886.5630774384038,0.0,530.8962025316459,1904.1430862964608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,38.300450198400036,0.0,0.0,231.2813706681981,256.6872618753024,87.92424058391994,0.0,63.392271689968354,23.13356650535527,455.5936073093182,0.0,0.0,550.7060199960729,10.284089202128566,311.0319965453963,0.0,0.0,0.0,436.67307692307696,0.0,0.0,0.0,0.0,1027.8751898734176,0.0,1027.0,886.5630774384038,0.0,530.8962025316459,1854.9696476888548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
