buildings_solar_pv_solar_radiation,energy_power_hydro_river,energy_power_solar_csp_solar_radiation,energy_power_solar_pv_solar_radiation,energy_power_wind_turbine_coastal,energy_power_wind_turbine_inland,energy_power_wind_turbine_offshore,households_solar_pv_solar_radiation,energy_chp_supercritical_waste_mix,energy_power_supercritical_waste_mix,energy_power_hydro_mountain,energy_power_nuclear_gen3_uranium_oxide,energy_power_nuclear_gen2_uranium_oxide,agriculture_chp_engine_biogas,buildings_chp_engine_biogas,households_collective_chp_biogas,energy_power_ultra_supercritical_lignite,energy_chp_ultra_supercritical_lignite,energy_power_combined_cycle_coal,energy_power_ultra_supercritical_coal,energy_power_ultra_supercritical_oxyfuel_ccs_lignite,energy_chp_ultra_supercritical_coal,energy_power_combined_cycle_ccs_coal,energy_power_supercritical_coal,industry_chp_ultra_supercritical_coal,energy_power_ultra_supercritical_ccs_coal,energy_power_combined_cycle_network_gas,energy_power_ultra_supercritical_cofiring_coal,energy_power_engine_network_gas,energy_chp_ultra_supercritical_cofiring_coal,energy_power_combined_cycle_ccs_network_gas,energy_chp_combined_cycle_network_gas,energy_power_ultra_supercritical_network_gas,households_collective_chp_network_gas,agriculture_chp_engine_network_gas,buildings_collective_chp_network_gas,industry_chp_combined_cycle_gas_power_fuelmix,energy_power_turbine_network_gas,industry_chp_engine_gas_power_fuelmix,industry_chp_turbine_gas_power_fuelmix,energy_power_ultra_supercritical_crude_oil,agriculture_chp_supercritical_wood_pellets,households_collective_chp_wood_pellets,buildings_collective_chp_wood_pellets,energy_power_engine_diesel
Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer
0.015,10.0,50.0,20.0,3.0,3.0,3.0,0.0015,60.0,55.56,500.00000000000006,1650.0000000000002,1650.0,1.0,1.0,1.0,800.0,700.0,800.0,800.0,660.0,695.652173913043,658.0,800.0,17.3611111111111,637.0,800.0000000000001,730.434782608696,400.0,643.478260869565,665.0,120.0,800.0,2.0,2.0,2.0,100.0,150.0,1.0,45.0,800.0,1.5,1.5,1.5,2.0
1205397.5543961488,354.863641025641,0.0,367.00223713646534,731.9000000000016,8995.096501809398,62.73428571428559,2724547.945971408,12.450000000000003,15.998213813780973,2.619525556544969,0.0,7.3065197428833795,0.0,0.0,0.0,27.46625,0.8216326530612242,0.0,10.76527777777778,0.0,3.7784687500000023,0.0,19.210714285714285,45.866057142857166,0.0,6.7895555555555545,2.6848544973544968,0.8486944444444444,2.7496396396396405,0.0,103.17777777777773,6.001482142857143,0.0,0.0,0.0,17.756825272367376,16.294933333333386,14.322099395369811,52.07397126002734,1.3125,0.0,0.0,0.0,31.835443037974702
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.169906407487401,2.4920896602739795,4.844769136055791,5.041880429577916,14.919859467,14.919859467,14.919859467,15.652656600000002,16.70303611428572,20.42984778378599,20.860764370711962,21.933739301341284,24.20252904060111,25.21898318176744,26.42226212844568,29.336714554134815,31.610773730190267,39.185327961485136,43.2548330639562,48.97072245185641,49.35160511506634,51.151005761685575,55.300825659264476,58.34486694222768,60.0580525973017,60.0580525973017,60.0580525973017,65.7027944556023,69.08806454232669,71.20210734164826,73.04782545092887,114.98312557612161,135.5825212612099,135.71585459454323,135.71585459454323,143.37800107698612
0.0,5096.788953872047,0.0,0.0,1479.5244715724782,12561.731811523978,115.24605885655787,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,0.0,0.0,0.0,19555.969999999998,557.8885714285713,0.0,264.13136218689067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1383.8292126740837,11749.242257607804,103.7355260116135,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,0.0,0.0,0.0,18839.49284611045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1212.7335809682816,10296.574538413353,117.89705242809144,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,0.0,0.0,0.0,17999.90189591932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1131.2767215788356,9604.974472635657,130.1800007752668,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,0.0,0.0,0.0,17223.019936512956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1385.1385733999834,11760.359233770972,99.77288355679661,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,0.0,0.0,0.0,13896.644968367928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1335.3828658158536,11337.914139571101,121.81591249035847,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,0.0,0.0,0.0,12974.997654300725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1287.759635669088,10933.574598998084,132.15298561908014,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,0.0,0.0,0.0,11036.856514136809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
