buildings_solar_pv_solar_radiation,energy_power_hydro_river,energy_power_solar_csp_solar_radiation,energy_power_solar_pv_solar_radiation,energy_power_wind_turbine_coastal,energy_power_wind_turbine_inland,energy_power_wind_turbine_offshore,households_solar_pv_solar_radiation,energy_chp_supercritical_waste_mix,energy_power_supercritical_waste_mix,energy_power_hydro_mountain,energy_power_nuclear_gen3_uranium_oxide,energy_power_nuclear_gen2_uranium_oxide,industry_chp_ultra_supercritical_coal,energy_chp_ultra_supercritical_lignite,energy_chp_ultra_supercritical_coal,energy_power_ultra_supercritical_lignite,agriculture_chp_engine_network_gas,buildings_collective_chp_network_gas,households_collective_chp_network_gas,energy_power_combined_cycle_coal,industry_chp_combined_cycle_gas_power_fuelmix,energy_power_ultra_supercritical_coal,industry_chp_engine_gas_power_fuelmix,energy_power_ultra_supercritical_oxyfuel_ccs_lignite,industry_chp_turbine_gas_power_fuelmix,energy_power_combined_cycle_ccs_coal,energy_chp_ultra_supercritical_cofiring_coal,energy_power_supercritical_coal,energy_power_ultra_supercritical_ccs_coal,agriculture_chp_supercritical_wood_pellets,buildings_collective_chp_wood_pellets,households_collective_chp_wood_pellets,energy_chp_combined_cycle_network_gas,agriculture_chp_engine_biogas,households_collective_chp_biogas,buildings_chp_engine_biogas,energy_power_ultra_supercritical_cofiring_coal,energy_power_combined_cycle_network_gas,energy_power_engine_network_gas,energy_power_combined_cycle_ccs_network_gas,energy_power_ultra_supercritical_network_gas,energy_power_turbine_network_gas,energy_power_ultra_supercritical_crude_oil,energy_power_engine_diesel
Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::VolatileProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer,Merit::DispatchableProducer
0.015,10.0,50.0,20.0,3.0,3.0,3.0,0.0015,60.0,55.56,500.00000000000006,1650.0000000000002,1650.0,17.3611111111111,700.0,695.652173913043,800.0,2.0,2.0,2.0,800.0,100.0,800.0,1.0,660.0,45.0,658.0,643.478260869565,800.0,637.0,1.5,1.5,1.5,120.0,1.0,1.0,1.0,730.434782608696,800.0000000000001,400.0,665.0,800.0,150.0,800.0,2.0
1205397.5543961488,354.863641025641,0.0,367.00223713646534,731.9000000000016,8995.096501809398,62.73428571428559,2724547.945971408,12.450000000000003,15.998213813780973,2.619525556544969,0.0,7.3065197428833795,45.866057142857166,0.8216326530612242,3.7784687500000023,27.46625,0.0,0.0,0.0,0.0,17.756825272367376,10.76527777777778,14.322099395369811,0.0,52.07397126002734,0.0,2.7496396396396405,19.210714285714285,0.0,0.0,0.0,0.0,103.17777777777773,0.0,0.0,0.0,2.6848544973544968,6.7895555555555545,0.8486944444444444,0.0,6.001482142857143,16.294933333333386,1.3125,31.835443037974702
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5849532037437005,2.4920896602739795,4.844769136055791,5.041880429577916,7.334178638533704,8.35151805714286,12.101264520300555,15.652656600000002,19.657098150298616,19.65709815029862,19.65709815029862,20.42984778378599,20.552865753561814,20.860764370711962,21.927693975073296,21.933739301341284,22.82356214867358,25.21898318176744,26.261154318692004,26.42226212844568,31.610773730190267,36.82853107344632,36.86186440677966,36.86186440677966,37.15665830781544,37.968041418925715,37.968041418925715,37.968041418925715,46.048071881236055,52.494071630941605,65.60665203867701,67.4474265814282,78.30798244641241,92.57408278254401,114.98312557612161,187.87327684210524
0.0,5096.788953872047,0.0,0.0,1479.5244715724782,12561.731811523978,115.24605885655787,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,16734.624219329813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1383.8292126740837,11749.242257607804,103.7355260116135,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,15196.127131824804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1212.7335809682816,10296.574538413353,117.89705242809144,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,14356.536181633674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1131.2767215788356,9604.974472635657,130.1800007752668,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,13579.65422222731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1385.1385733999834,11760.359233770972,99.77288355679661,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,10253.279254082201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1335.3828658158536,11337.914139571101,121.81591249035847,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,9331.631940014999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1287.759635669088,10933.574598998084,132.15298561908014,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,7393.490799851083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.85083338877562,5096.788953872047,0.0,25.92052014844455,1334.0735050899557,11326.797163407948,135.4032732820019,14.432139531351535,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,7436.621049108162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415.0304170270415,5096.788953872047,0.0,168.48338096488956,1372.0449661410012,11649.18947213942,136.2529850821344,93.80890695378498,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,7623.388670355187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
798.1354173596952,5096.788953872047,0.0,324.00650185555685,1375.9730483186966,11682.540400628892,136.29160834577675,180.4017441418942,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,9637.605645925374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101.4268759563788,5096.788953872047,0.0,447.1289725606682,1408.7070664661508,11960.464804707757,136.29160834577675,248.95440691581385,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,12233.851540699325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548.382709677807,5096.788953872047,0.0,628.5726135997796,1437.5130024359091,12205.038280297147,136.29160834577675,349.97938363527436,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,15167.755434119339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245.0912510811236,5096.788953872047,0.0,505.45014289466826,1474.0909891331983,12515.599455813552,136.29160834577675,281.4267208613547,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,16090.83915958711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
798.1354173596952,5096.788953872047,0.0,324.00650185555685,1510.9756449676404,12828.764370254055,136.29160834577675,180.4017441418942,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,15877.52224597583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399.0677086798476,5096.788953872047,0.0,162.00325092777842,1534.0862306203342,13024.982131132216,136.29160834577675,90.2008720709471,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,15877.48212362183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.888125041581716,5096.788953872047,0.0,19.440390111333414,1548.2731706840716,13145.434708788753,136.29160834577675,10.824104648513652,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,16686.233481351606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1548.2731706840716,13145.434708788753,136.29160834577675,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,19555.969999999998,0.0,0.0,0.0,0.0,642.428647692017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1548.2731706840716,13145.434708788753,136.29160834577675,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,19555.969999999998,0.0,0.0,0.0,0.0,1722.4120514196354,4241.386094634273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5096.788953872047,0.0,0.0,1548.2731706840716,13145.434708788753,136.29160834577675,0.0,724.5900000000001,799.9746835443038,432.22171682991996,0.0,10247.39393939394,772.3971428571427,557.8885714285713,2313.08,19555.969999999998,0.0,0.0,0.0,0.0,1722.4120514196354,5839.468309290908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
