Key,Marginal_Cost_(EUR/MWh),Capacity_(MWh),%_Price-setting
energy_power_combined_cycle_network_gas,48.04221726438934,5904.0,54.657534246575345
energy_chp_combined_cycle_network_gas,67.95352466341336,4763.399999999994,27.054794520547947
import_from_de,32.077808215164445,2449.0,10.365296803652967
energy_chp_ultra_supercritical_cofiring_coal,53.6966949405734,630.8000000000006,5.4908675799086755
agriculture_chp_engine_network_gas,70.48558139534885,2863.4900029443065,1.0844748858447488
energy_power_ultra_supercritical_network_gas,71.630200896584,3082.005095766436,0.6506849315068494
energy_power_ultra_supercritical_cofiring_coal,47.08265029118862,530.8962025316459,0.4223744292237443
energy_power_supercritical_coal,28.83627841833498,886.5630774384038,0.273972602739726
agriculture_chp_engine_biogas,151.87216567570286,65.94381062500001,0.0
agriculture_chp_supercritical_wood_pellets,147.31412429378528,0.0,0.0
buildings_chp_engine_biogas,151.87216567570286,24.06469255701716,0.0
buildings_collective_chp_network_gas,70.48558139534885,0.0,0.0
buildings_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
buildings_solar_pv_solar_radiation,0.0,138.9297,0.0
energy_chp_supercritical_waste_mix,0.0,598.6499999999996,0.0
energy_chp_ultra_supercritical_coal,26.375143701501482,1027.0,0.0
energy_chp_ultra_supercritical_lignite,20.17014509714286,0.0,0.0
energy_power_combined_cycle_ccs_coal,24.437988926771176,0.0,0.0
energy_power_combined_cycle_ccs_network_gas,60.5558666044358,0.0,0.0
energy_power_combined_cycle_coal,22.34827132541988,0.0,0.0
energy_power_engine_diesel,187.87327684210524,0.0,0.0
energy_power_engine_network_gas,60.04183408048668,0.0,0.0
energy_power_hydro_mountain,2.4920896602739795,0.0,0.0
energy_power_hydro_river,0.0,36.29629629629633,0.0
energy_power_nuclear_gen2_uranium_oxide,5.041880429577916,436.67307692307696,0.0
energy_power_nuclear_gen3_uranium_oxide,4.844769136055791,0.0,0.0
energy_power_solar_csp_solar_radiation,1.0,0.0,0.0
energy_power_solar_pv_solar_radiation,0.0,25.480000000000004,0.0
energy_power_supercritical_waste_mix,1.169906407487401,0.0,0.0
energy_power_turbine_network_gas,84.71786919451061,5.2554732845844585,0.0
energy_power_ultra_supercritical_ccs_coal,30.803818447327096,0.0,0.0
energy_power_ultra_supercritical_coal,22.749994510625328,1027.8751898734176,0.0
energy_power_ultra_supercritical_crude_oil,117.45451237612158,0.0,0.0
energy_power_ultra_supercritical_lignite,18.68637696,0.0,0.0
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,21.758012159046203,0.0,0.0
energy_power_wind_turbine_coastal,0.0,744.6769222222224,0.0
energy_power_wind_turbine_inland,0.0,1713.4199999999998,0.0
energy_power_wind_turbine_offshore,0.0,207.39428571428556,0.0
households_collective_chp_biogas,151.87216567570286,0.0,0.0
households_collective_chp_network_gas,70.48558139534885,0.0,0.0
households_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
households_solar_pv_solar_radiation,0.0,405.8229,0.0
industry_chp_combined_cycle_gas_power_fuelmix,76.94848950729849,723.6277102694675,0.0
industry_chp_engine_gas_power_fuelmix,80.36476636576975,14.264031723246422,0.0
industry_chp_turbine_gas_power_fuelmix,85.4772778764878,408.6960434576166,0.0
industry_chp_ultra_supercritical_coal,32.233534102001975,0.0,0.0
emergency_price,"","",0.0
